Total Unsigned Flux (Mx),GWILL (Mm),Average Gradient across PIL (G),Effective Separation (pixels),PIL Length (Mm),Label
5.2e+22,9216.72,28.0728,33.0168,328.315,0
5.22e+22,7922.76,25.6048,33.143,309.425,0
5.23e+22,9514.14,22.5996,32.3022,420.987,0
5.2e+22,7056.08,25.178,32.8377,280.248,0
5.15e+22,5870.4,23.6376,32.0581,248.35,0
5.14e+22,5862.02,24.6664,32.0043,237.652,0
5.11e+22,6769.17,22.9679,32.4037,294.723,0
5.09e+22,5575.5,21.0959,30.7491,264.293,0
5.11e+22,6127.14,22.8738,32.2311,267.867,0
5.06e+22,4781.92,21.2388,30.9404,225.15,0
5.05e+22,4036.95,19.8256,32.2431,203.623,0
5.07e+22,3643.5,19.5451,32.4405,186.415,0
5.1e+22,4285.74,24.4923,32.9901,174.983,0
5.09e+22,2943.12,22.5687,32.6127,130.407,0
5.14e+22,3471.36,22.9136,32.4348,151.498,0
5.19e+22,3863.22,20.9701,33.0973,184.225,0
5.21e+22,3936.12,26.5841,31.0903,148.063,0
5.23e+22,4158.89,22.1656,31.9942,187.628,0
5.27e+22,3415.96,27.6937,31.7644,123.348,0
5.3e+22,3604.48,29.3879,31.3687,122.652,0
5.34e+22,3829.09,25.1172,32.0812,152.44899999999996,0
5.44e+22,4003.65,21.9336,32.2934,182.535,0
6.29e+22,4452.8,23.9452,28.6192,185.958,0
5.48e+22,4103.3,20.8444,32.3106,196.854,0
5.51e+22,4677.89,19.3207,31.5644,242.118,0
5.48e+23,45892.4,115.485,1.53243,397.388,0
5.46e+22,4668.72,21.0318,31.4671,221.984,0
5.43e+22,4629.27,23.2559,31.1527,199.058,0
5.42e+22,4994.04,18.6178,30.2754,268.24,0
5.43e+22,6038.93,20.638,32.0223,292.612,0
5.39e+22,6121.95,18.0417,32.1506,339.32199999999995,0
5.35e+22,6699.2,19.3491,32.1027,346.228,0
5.33e+22,6638.47,22.3259,32.4229,297.344,0
5.33e+22,6980.26,24.2488,32.561,287.86,0
5.31e+22,7142.07,22.5792,31.967,316.312,0
5.26e+22,6436.26,23.863000000000003,33.7113,269.717,0
5.25e+22,6445.92,19.8982,34.3923,323.945,0
5.26e+22,6031.14,20.7486,34.058,290.677,0
5.21e+22,6580.67,20.1676,33.2264,326.2990000000001,0
5.25e+22,6886.2,22.6722,34.3464,303.7290000000001,0
5.26e+22,7824.24,19.3079,34.3488,405.235,0
5.24e+22,6640.13,19.4525,34.079,341.351,0
5.28e+22,5966.33,19.7562,35.2451,301.998,0
5.19e+22,5534.8,18.6801,34.01,296.2940000000001,0
5.19e+22,4741.41,18.059,34.1219,262.551,0
5.2e+22,4816.63,17.7975,34.9318,270.635,0
5.16e+22,6128.99,17.0871,34.4421,358.691,0
5.15e+22,6062.81,17.0407,34.6572,355.784,0
5.16e+22,6477.31,15.1587,35.5957,427.3,0
5.07e+22,4429.74,12.2892,34.5222,360.458,0
5.1e+22,4284.45,13.389000000000001,34.4385,319.998,0
5.1e+22,5297.57,13.9317,34.394,380.253,0
5.11e+22,5526.96,18.2811,34.6702,302.332,0
5.11e+22,8320.19,17.408,37.1266,477.952,0
5.07e+22,8924.84,21.5929,37.6604,413.323,0
5.06e+22,6312.21,25.9335,36.5993,243.4,0
3.94e+22,2158.85,15.3347,60.7984,140.782,0
3.89e+22,1156.19,13.7448,62.8153,84.1185,0
3.81e+22,648.909,14.9511,61.8028,43.4021,0
3.83e+22,817.8330000000002,12.9762,62.5237,63.0256,0
3.82e+22,766.811,14.4886,61.2624,52.9251,0
3.88e+22,720.758,14.5062,61.0413,49.6862,0
3.87e+22,665.7230000000002,16.8722,60.319,39.4568,0
3.87e+22,832.454,18.0295,59.3975,46.1718,0
3.87e+22,830.465,20.5461,59.5857,40.4196,0
3.92e+22,667.951,15.7126,60.3809,42.5105,0
3.97e+22,2089.46,17.7849,60.5989,117.485,0
3.98e+22,2291.85,19.1211,59.2148,119.86,0
4.02e+22,2905.28,19.6463,56.6523,147.879,0
4.01e+22,2458.34,24.2583,55.5851,101.34,0
4.01e+22,1795.5,17.941,56.2654,100.078,0
4e+22,1880.41,19.2365,56.4097,97.7521,0
3.94e+22,1098.77,16.7941,56.0541,65.4257,0
3.92e+22,761.7869999999998,13.4086,54.25100000000001,56.8133,0
3.89e+22,423.909,15.4225,51.9408,27.4864,0
3.88e+22,439.152,15.4661,52.2991,28.3945,0
3.88e+22,458.246,15.8528,55.2604,28.9063,0
3.87e+22,391.224,12.3005,56.2991,31.8055,0
3.85e+22,405.641,13.802999999999999,54.9514,29.3879,0
3.87e+22,640.35,16.569000000000003,54.5553,38.6475,0
3.87e+22,391.797,13.5722,55.3569,28.8676,0
3.85e+22,436.11300000000006,13.3555,53.1049,32.6542,0
3.85e+22,501.376,14.9151,54.4857,33.6153,0
3.88e+22,409.734,15.0517,51.7875,27.2218,0
