Total Unsigned Flux (Mx),GWILL (Mm),Average Gradient across PIL (G),Effective Separation (pixels),PIL Length (Mm),Label
1.01e+22,457.816,11.85,56.855,38.6343,0
1.01e+22,566.116,14.6365,59.1,38.6784,1
9.89e+21,336.69699999999995,19.2713,59.1587,17.4714,1
9.71e+21,240.585,14.290999999999999,58.5866,16.8347,1
8.94e+21,208.48,9.563939999999999,56.0341,21.7985,1
8.96e+21,275.594,11.3582,58.2824,24.2639,1
8.67e+21,216.602,10.367,61.0942,20.8934,1
8.31e+21,312.975,13.6133,66.9806,22.9904,1
8.35e+21,324.185,15.7167,71.506,20.6268,1
5.87e+21,2868.51,14.4766,73.1247,198.148,0
7.09e+21,1277.0,10.3945,56.826,122.853,0
7.41e+21,1068.76,10.1632,51.8533,105.16,0
8.31e+21,1925.1,14.0797,52.7868,136.72899999999998,0
9.98e+21,3156.39,19.2972,48.2742,163.567,0
1.13e+22,1911.39,15.4533,40.6031,123.688,0
1.31e+22,2040.18,16.0038,38.1009,127.481,0
1.46e+22,1049.01,12.0595,38.6744,86.9865,0
1.63e+22,2366.58,14.9681,35.6006,158.108,0
1.74e+22,2196.06,21.6576,33.6949,101.399,0
1.82e+22,2956.83,21.2277,33.5727,139.291,0
1.91e+22,3182.46,23.7332,34.7907,134.093,0
1.98e+22,2155.39,20.9785,31.9515,102.743,0
2.03e+22,2954.46,24.2798,30.3666,121.684,0
2.16e+22,3308.87,23.9322,27.4378,138.26,0
2.32e+22,4642.26,28.7703,29.1974,161.356,0
2.49e+22,6497.49,31.2897,27.8909,207.656,0
2.66e+22,6413.53,38.1077,26.8487,168.3,0
2.76e+22,7435.36,40.9996,26.1091,181.352,0
2.96e+22,8938.48,37.6849,27.3546,237.19,0
3.01e+22,9264.29,36.9163,26.6818,250.954,0
3.12e+22,9608.57,43.133,27.4662,222.766,0
3.16e+22,8614.53,40.5096,30.0788,212.654,0
3.26e+22,11568.4,45.9073,27.765,251.99400000000003,0
3.37e+22,11363.7,42.5733,26.9391,266.92,1
3.5e+22,13983.6,48.0651,26.2312,290.931,1
3.62e+22,16526.8,60.596000000000004,27.3512,272.738,1
3.72e+22,15217.8,66.5754,25.7361,228.58,1
3.88e+22,17182.8,73.4285,22.3061,234.007,1
4.03e+22,16237.0,72.4438,22.2928,224.132,1
4.4e+22,18056.1,98.5382,24.0625,183.24,1
4.57e+22,16677.1,106.061,23.8184,157.241,1
4.74e+22,19957.4,110.583,22.764,180.474,1
4.9e+22,22474.3,122.525,23.8848,183.426,1
5.05e+22,22121.6,90.6466,24.4395,244.042,1
5.09e+22,21460.2,99.7292,23.4345,215.185,1
5.22e+22,23794.0,101.09700000000001,23.9294,235.358,1
5.33e+22,25698.1,117.964,25.1537,217.847,1
5.61e+22,31350.7,98.5201,26.7385,318.216,1
5.75e+22,28394.9,82.0531,24.9844,346.055,1
5.97e+22,31435.0,73.545,26.5998,427.425,1
6.06e+22,30466.5,82.9714,27.4084,367.193,1
6.06e+22,25317.7,96.695,26.4185,261.831,1
6.06e+22,21072.7,89.8687,27.6956,234.483,1
6.14e+22,23581.0,75.7496,30.3624,311.302,1
1.27e+22,808.548,25.6233,98.6329,31.5552,0
1.26e+22,882.2189999999998,29.345,84.6141,30.0637,0
1.27e+22,1323.97,27.5204,82.6503,48.1088,0
1.27e+22,2069.76,36.9799,83.7943,55.9698,0
1.27e+22,2630.49,34.3343,91.2197,76.6141,0
1.34e+22,3278.8,55.982,91.6433,58.5688,0
1.37e+22,1947.88,53.0359,87.9196,36.7276,0
1.42e+22,1945.6,63.8592,82.9199,30.4671,0
1.5e+22,2765.03,54.2411,83.5235,50.9767,0
